Stop Name,BOROUGH,Annual Riders,Station Latitude,Station Longitude
170 ST,Bronx,1448193,-73.9134,40.839306
MT EDEN AV,Bronx,990912,-73.914685,40.844434
176 ST,Bronx,1041352,-73.911794,40.84848
BURNSIDE AV,Bronx,1891402,-73.907684,40.853453
183 ST,Bronx,1188844,-73.903879,40.858407
FORDHAM RD,Bronx,2269772,-73.901034,40.862803
KINGSBRIDGE RD,Bronx,1958074,-73.897174,40.86776
BEDFORD PARK BLVD LEHMAN COLLEGE,Bronx,1182701,-73.890064,40.873412
MOSHOLU PKWY,Bronx,1728114,-73.884655,40.87975
WOODLAWN,Bronx,1299027,-73.878751,40.886037
3 AV 149 ST,Bronx,3333256,-73.917757,40.816109
JACKSON AV,Bronx,919324,-73.907807,40.81649
PROSPECT AV,Bronx,1248614,-73.992872,40.665414
INTERVALE AV,Bronx,580512,-73.896736,40.822181
SIMPSON ST,Bronx,1336897,-73.893064,40.824073
FREEMAN ST,Bronx,822237,-73.891865,40.829993
174 ST,Bronx,1118781,-73.887734,40.837288
BRONX PARK EAST,Bronx,456352,-73.868457,40.848828
PELHAM PKWY,Bronx,1686103,-73.867615,40.857192
ALLERTON AV,Bronx,874229,-73.867352,40.865462
BURKE AV,Bronx,532937,-73.867164,40.871356
GUN HILL RD,Bronx,1214663,-73.866256,40.87785
219 ST,Bronx,490047,-73.862633,40.883895
225 ST,Bronx,589541,-73.860341,40.888022
233 ST,Bronx,845056,-73.857473,40.893193
NEREID AV,Bronx,583996,-73.854376,40.898379
WAKEFIELD 241 ST,Bronx,794723,-73.85062,40.903125
MORRIS PARK,Bronx,521846,-73.860495,40.854364
BAYCHESTER AV,Bronx,540493,-73.838591,40.878663
EASTCHESTER DYRE AV,Bronx,727475,-73.830834,40.8883
3 AV 138 ST,Bronx,1750592,-73.926138,40.810476
BROOK AV,Bronx,1104521,-73.91924,40.807566
CYPRESS AV,Bronx,501060,-73.914042,40.805368
LONGWOOD AV,Bronx,686670,-73.896435,40.816104
HUNTS POINT AV,Bronx,2140557,-73.890549,40.820948
WHITLOCK AV,Bronx,385838,-73.886283,40.826525
ELDER AV,Bronx,1214084,-73.879159,40.828584
MORRISON AV SOUNDVIEW,Bronx,1221900,-73.874516,40.829521
PARKCHESTER,Bronx,3295956,-73.860816,40.833226
CASTLE HILL AV,Bronx,1051526,-73.851222,40.834255
ZEREGA AV,Bronx,504725,-73.847036,40.836488
MIDDLETOWN RD,Bronx,401976,-73.836322,40.843863
BUHRE AV,Bronx,758972,-73.832569,40.84681
PELHAM BAY PARK,Bronx,1180813,-73.828121,40.852462
34 ST HUDSON YARDS,Manhattan,5494067,-74.00191,40.755882
CITY HALL,Manhattan,1138401,-74.006978,40.713282
PRINCE ST,Manhattan,3128710,-73.997702,40.724329
49 ST,Manhattan,5566042,-73.984139,40.759901
57 ST 7 AV,Manhattan,7787658,-73.980658,40.764664
86 ST,Manhattan,5443029,-74.028398,40.622687
BROAD ST,Manhattan,1214353,-74.011056,40.706476
BOWERY,Manhattan,887619,-73.993915,40.72028
3 AV,Manhattan,1564084,-73.986122,40.732849
1 AV,Manhattan,5745700,-73.981628,40.730953
GRAND ST,Manhattan,5821650,-73.993753,40.718267
EAST BROADWAY,Manhattan,3729749,-73.990173,40.713715
2 AV,Manhattan,4192759,-73.989938,40.723402
7 AV,Manhattan,3892682,-73.980305,40.666271
57 ST,Manhattan,2582091,-73.97745,40.763972
ROOSEVELT ISLAND,Manhattan,1686544,-73.95326,40.759145
81 ST MUSEUM OF NATURAL HISTORY,Manhattan,3531009,-73.972143,40.781433
155 ST,Manhattan,539511,-73.938209,40.830135
163 ST AMSTERDAM AV,Manhattan,840255,-73.939892,40.836013
175 ST,Manhattan,2258838,-73.939704,40.847391
190 ST,Manhattan,951786,-73.93418,40.859022
INWOOD 207 ST,Manhattan,1632951,-73.919899,40.868072
174 175 STS,Bronx,774167,-73.910136,40.8459
TREMONT AV,Bronx,1192367,-73.905227,40.85041
182 183 STS,Bronx,824845,-73.900741,40.856093
BEDFORD PARK BLVD,Bronx,1166942,-73.887138,40.873244
NORWOOD 205 ST,Bronx,1196666,-73.878855,40.874811
SOUTH FERRY,Manhattan,5995305,-74.013664,40.702068
FULTON ST,Manhattan,17887203,-73.975375,40.687119
BROOKLYN BRIDGE CITY HALL,Manhattan,5881022,-74.004131,40.713065
BROADWAY LAFAYETTE ST,Manhattan,9268403,-73.996204,40.725297
14 ST,Manhattan,10863467,-74.00169,40.740893
14 ST UNION SQ,Manhattan,21527757,-73.990568,40.735736
34 ST HERALD SQ,Manhattan,23680977,-73.98795,40.749567
TIMES SQ 42 ST,Manhattan,54266441,-73.987691,40.755477
GRAND CENTRAL 42 ST,Manhattan,30517475,-73.976848,40.751776
59 ST COLUMBUS CIRCLE,Manhattan,15842348,-73.981736,40.768296
168 ST,Manhattan,5161102,-73.939561,40.840719
149 ST GRAND CONCOURSE,Bronx,2087779,-73.926718,40.81841
161 ST YANKEE STADIUM,Bronx,5316351,-73.925831,40.827994
NEW LOTS AV,Brooklyn,1066391,-73.884079,40.666235
VAN SICLEN AV,Brooklyn,491980,-73.891688,40.678024
PENNSYLVANIA AV,Brooklyn,868432,-73.894895,40.664635
JUNIUS ST,Brooklyn,487780,-73.902447,40.663515
ROCKAWAY AV,Brooklyn,838719,-73.908946,40.662549
SARATOGA AV,Brooklyn,941203,-73.916327,40.661453
SUTTER AV RUTLAND RD,Brooklyn,1272857,-73.92261,40.664717
KINGSTON AV,Brooklyn,1017521,-73.942161,40.669399
NOSTRAND AV,Brooklyn,809205,-73.950426,40.680438
FLATBUSH AV BROOKLYN COLLEGE,Brooklyn,3601151,-73.947642,40.632836
BEVERLY RD,Brooklyn,951520,-73.948959,40.645098
CHURCH AV,Brooklyn,1947722,-73.979678,40.644041
WINTHROP ST,Brooklyn,1628419,-73.9502,40.656652
EASTERN PKWY BROOKLYN MUSEUM,Brooklyn,1125810,-73.964375,40.671987
GRAND ARMY PLAZA,Brooklyn,1653318,-73.971046,40.675235
BERGEN ST,Brooklyn,990992,-73.975098,40.680829
NEVINS ST,Brooklyn,2136592,-73.980492,40.688246
HOYT ST,Brooklyn,1666303,-73.985065,40.690545
CLARK ST,Brooklyn,1554195,-73.993086,40.697466
BAY RIDGE 95 ST,Brooklyn,1176225,-74.030876,40.616622
BAY RIDGE AV,Brooklyn,1784703,-74.023377,40.634967
59 ST,Brooklyn,2855080,-74.017881,40.641362
53 ST,Brooklyn,2018914,-74.014034,40.645069
45 ST,Brooklyn,1884446,-74.010006,40.648939
36 ST,Brooklyn,3458960,-74.003549,40.655144
25 ST,Brooklyn,822024,-73.998091,40.660397
UNION ST,Brooklyn,1646253,-73.98311,40.677316
AVENUE U,Brooklyn,877440,-73.979137,40.597473
KINGS HWY,Brooklyn,1247257,-73.980353,40.603923
BAY PKWY,Brooklyn,1594271,-73.975264,40.620769
20 AV,Brooklyn,931058,-73.985026,40.61741
18 AV,Brooklyn,1190431,-74.001736,40.607954
FORT HAMILTON PKWY,Brooklyn,1530067,-73.994304,40.640914
8 AV,Brooklyn,2561457,-74.011719,40.635064
BAY 50 ST,Brooklyn,575901,-73.983765,40.588841
25 AV,Brooklyn,948677,-73.986829,40.597704
71 ST,Brooklyn,1069576,-73.998864,40.619589
55 ST,Brooklyn,418218,-73.995476,40.631435
9 AV,Brooklyn,1263578,-73.994324,40.646292
OCEAN PKWY,Brooklyn,744994,-73.968501,40.576312
BRIGHTON BEACH,Brooklyn,2635382,-73.961376,40.577621
SHEEPSHEAD BAY,Brooklyn,2821135,-73.954155,40.586896
NECK RD,Brooklyn,956059,-73.955161,40.595246
AVENUE M,Brooklyn,1211324,-73.959399,40.617618
AVENUE J,Brooklyn,1169052,-73.960803,40.625039
AVENUE H,Brooklyn,646824,-73.961639,40.62927
NEWKIRK PLAZA,Brooklyn,2170621,-73.962793,40.635082
CORTELYOU RD,Brooklyn,1296344,-73.963891,40.640927
BEVERLEY RD,Brooklyn,795709,-73.964492,40.644031
PARKSIDE AV,Brooklyn,1348897,-73.961495,40.655292
PARK PL,Brooklyn,348208,-73.957624,40.674772
NEPTUNE AV,Brooklyn,320508,-73.974574,40.581011
AVENUE X,Brooklyn,479429,-73.97425,40.58962
AVENUE P,Brooklyn,538576,-73.973022,40.608944
AVENUE N,Brooklyn,600279,-73.974197,40.61514
AVENUE I,Brooklyn,381174,-73.976127,40.625322
DITMAS AV,Brooklyn,848061,-73.978172,40.636119
15 ST PROSPECT PARK,Brooklyn,1390166,-73.979493,40.660365
SMITH 9 STS,Brooklyn,968460,-73.995959,40.67358
CARROLL ST,Brooklyn,2625017,-73.995048,40.680303
YORK ST,Brooklyn,3345474,-73.986751,40.701397
ROCKAWAY PARK BEACH 116 ST,Queens,132504,-73.835592,40.580903
BEACH 105 ST,Queens,62878,-73.827559,40.583209
BEACH 98 ST,Queens,97689,-73.820558,40.585307
BEACH 90 ST,Queens,172663,-73.813641,40.588034
FAR ROCKAWAY MOTT AV,Queens,852781,-73.755405,40.603995
BEACH 25 ST,Queens,318542,-73.761353,40.600066
BEACH 36 ST,Queens,170361,-73.768175,40.595398
BEACH 44 ST,Queens,140167,-73.776013,40.592943
BEACH 60 ST,Queens,355668,-73.788522,40.592374
BROAD CHANNEL,Queens,52378,-73.815925,40.608382
HOWARD BEACH JFK AIRPORT,Queens,826955,-73.830301,40.660476
AQUEDUCT RACETRACK,Queens,202474,-73.835254,40.672369
OZONE PARK LEFFERTS BLVD,Queens,1285335,-73.825798,40.685951
111 ST,Queens,466344,-73.855334,40.75173
104 ST,Queens,363436,-73.837683,40.681711
ROCKAWAY BLVD,Queens,1519523,-73.843853,40.680429
88 ST,Queens,576816,-73.85147,40.679843
80 ST,Queens,898594,-73.858992,40.679371
GRANT AV,Brooklyn,1169287,-73.86505,40.677044
EUCLID AV,Brooklyn,2146235,-73.872106,40.675377
SHEPHERD AV,Brooklyn,559941,-73.88075,40.67413
LIBERTY AV,Brooklyn,497050,-73.896548,40.674542
RALPH AV,Brooklyn,1073687,-73.920786,40.678822
UTICA AV,Brooklyn,2907120,-73.930729,40.679364
KINGSTON THROOP AVS,Brooklyn,1444252,-73.940858,40.679921
CLINTON WASHINGTON AVS,Brooklyn,1587595,-73.966839,40.688089
LAFAYETTE AV,Brooklyn,1252720,-73.973946,40.686113
HIGH ST,Brooklyn,2247144,-73.990531,40.699337
CLASSON AV,Brooklyn,1342389,-73.96007,40.688873
BEDFORD NOSTRAND AVS,Brooklyn,1985142,-73.953522,40.689627
MYRTLE WILLOUGHBY AVS,Brooklyn,1265040,-73.949046,40.694568
FLUSHING AV,Brooklyn,729349,-73.941126,40.70026
BROADWAY,Brooklyn,1112371,-73.950308,40.706092
NASSAU AV,Brooklyn,2320186,-73.951277,40.724635
GREENPOINT AV,Brooklyn,2457616,-73.954449,40.731352
21 ST,Queens,448606,-73.949724,40.744065
21 ST QUEENSBRIDGE,Queens,1579379,-73.942836,40.754203
QUEENS PLAZA,Queens,3645653,-73.937243,40.748973
46 ST,Queens,1662115,-73.913333,40.756312
NORTHERN BLVD,Queens,1400392,-73.906006,40.752885
65 ST,Queens,729908,-73.898453,40.749669
ELMHURST AV,Queens,2676734,-73.882017,40.742454
GRAND AV NEWTOWN,Queens,3893242,-73.877223,40.737015
WOODHAVEN BLVD,Queens,4237180,-73.869229,40.733106
63 DR REGO PARK,Queens,3033839,-73.861604,40.729846
67 AV,Queens,1658341,-73.852719,40.726523
FOREST HILLS 71 AV,Queens,5509732,-73.844521,40.721691
75 AV,Queens,683707,-73.837324,40.718331
SUTPHIN BLVD,Queens,882617,-73.810708,40.70546
PARSONS BLVD,Queens,1584984,-73.803326,40.707564
169 ST,Queens,1627817,-73.793604,40.71047
JAMAICA 179 ST,Queens,3944828,-73.783817,40.712646
JAMAICA VAN WYCK,Queens,1010728,-73.816859,40.702566
121 ST,Queens,476966,-73.828294,40.700492
85 ST FOREST PKWY,Queens,829926,-73.86001,40.692435
75 ST ELDERTS LN,Queens,403508,-73.867139,40.691324
CYPRESS HILLS,Brooklyn,286484,-73.87255,40.689941
CRESCENT ST,Brooklyn,756318,-73.873785,40.683194
NORWOOD AV,Brooklyn,458742,-73.880039,40.68141
CLEVELAND ST,Brooklyn,440455,-73.884639,40.679947
ALABAMA AV,Brooklyn,365995,-73.898654,40.676992
CHAUNCEY ST,Brooklyn,623164,-73.910456,40.682893
HALSEY ST,Brooklyn,1253085,-73.916559,40.68637
GATES AV,Brooklyn,1458035,-73.92227,40.68963
KOSCIUSZKO ST,Brooklyn,1214488,-73.928814,40.693342
MYRTLE AV,Brooklyn,2654490,-73.935657,40.697207
LORIMER ST,Brooklyn,890789,-73.950275,40.714063
HEWES ST,Brooklyn,612920,-73.953431,40.70687
MARCY AV,Brooklyn,2864396,-73.957757,40.708359
MIDDLE VILLAGE METROPOLITAN AV,Queens,798449,-73.889601,40.711396
FRESH POND RD,Queens,1195169,-73.895877,40.706186
FOREST AV,Queens,923548,-73.903077,40.704423
SENECA AV,Queens,617361,-73.90774,40.702762
KNICKERBOCKER AV,Brooklyn,862039,-73.919711,40.698664
CENTRAL AV,Brooklyn,821947,-73.927397,40.697857
CANARSIE ROCKAWAY PKWY,Brooklyn,861420,-73.90185,40.646654
EAST 105 ST,Brooklyn,602303,-73.899485,40.650573
LIVONIA AV,Brooklyn,590252,-73.900571,40.664038
SUTTER AV,Brooklyn,479262,-73.901975,40.669367
ATLANTIC AV,Brooklyn,351212,-73.903097,40.675345
BUSHWICK AV ABERDEEN ST,Brooklyn,548179,-73.905249,40.682829
WILSON AV,Brooklyn,952643,-73.904046,40.688764
DEKALB AV,Brooklyn,2772609,-73.981824,40.690635
JEFFERSON ST,Brooklyn,2075924,-73.922913,40.706607
MORGAN AV,Brooklyn,1769142,-73.933147,40.706152
MONTROSE AV,Brooklyn,1683408,-73.93985,40.707739
GRAHAM AV,Brooklyn,2164641,-73.944053,40.714565
BEDFORD AV,Brooklyn,8399477,-73.956872,40.717304
FLUSHING MAIN ST,Queens,13876213,-73.83003,40.7596
METS WILLETS POINT,Queens,1818251,-73.845625,40.754622
103 ST CORONA PLAZA,Queens,6460459,-73.8627,40.749865
JUNCTION BLVD,Queens,6720760,-73.869527,40.749145
90 ST ELMHURST AV,Queens,4476908,-73.876613,40.748408
82 ST JACKSON HTS,Queens,2722243,-73.883697,40.747659
69 ST,Queens,1391674,-73.896403,40.746325
52 ST,Queens,1402690,-73.912549,40.744149
46 ST BLISS ST,Queens,2903856,-73.918435,40.743132
40 ST LOWERY ST,Queens,2189736,-73.924016,40.743781
33 ST RAWSON ST,Queens,1714912,-73.930997,40.744587
HUNTERS POINT AV,Queens,1039399,-73.948916,40.742216
VERNON BLVD JACKSON AV,Queens,3631659,-73.953581,40.742626
ASTORIA DITMARS BLVD,Queens,3234661,-73.912034,40.775036
ASTORIA BLVD,Queens,2350512,-73.917843,40.770258
30 AV,Queens,3015519,-73.921479,40.766779
36 AV,Queens,1475603,-73.929575,40.756804
COURT ST,Brooklyn,6066699,-73.991777,40.6941
JAY ST METROTECH,Brooklyn,7343495,-73.987342,40.692338
HOYT SCHERMERHORN STS,Brooklyn,2795555,-73.985001,40.688484
ATLANTIC AV BARCLAYS CTR,Brooklyn,9583506,-73.97689,40.68446
PROSPECT PARK,Brooklyn,2150487,-73.962246,40.661614
FRANKLIN AV,Brooklyn,3312190,-73.955827,40.680596
NEW UTRECHT AV,Brooklyn,1201167,-73.996353,40.624842
BROADWAY JUNCTION,Brooklyn,1647748,-73.905316,40.678334
MYRTLE WYCKOFF AVS,Brooklyn,5009020,-73.911586,40.699814
CONEY ISLAND STILLWELL AV,Brooklyn,3220518,-73.981233,40.577422
QUEENSBORO PLAZA,Queens,3573523,-73.940202,40.750582
COURT SQ,Queens,5381184,-73.943832,40.746554
SUTPHIN BLVD ARCHER AV JFK AIRPORT,Queens,5941974,-73.807969,40.700486
